fd88e8bbf5039fed7ffc7da33d09e1e9,Andrew Nicolle,Full-steam-ahead with Story Tracker for Mac via my website. Signed-up for @FastSpring and started tweaking the app for licensing etc.
fd88e8bbf5039fed7ffc7da33d09e1e9,Boy van Amstel,'Decided to give @fastspring a go. Form: "Where did you hear about us?". Well, @mattgemmell of course. http://t.co/T940mItL'
fd88e8bbf5039fed7ffc7da33d09e1e9,Boy van Amstel,'I already love @fastspring.. This took no time at all (also I don''t know who''s name that is, testing info):  http://t.co/O4Nj2SBL'
fd88e8bbf5039fed7ffc7da33d09e1e9,Jurriaan Persyn,Quick and to the point help desk from great online payment service @FastSpring. (Supporting Engagor online subscription payments.)
