(Add)ventures	554e7e9189e04bb925684d404f8d17f3	2012	'$6.1 million	http://www.inc.com/inc5000/profile/addventures	RI	24%'
101 Mobility	554e7e9189e04bb925684d404f8d17f3	2012	'$7 million	http://www.inc.com/inc5000/profile/101-mobility	NC	732%'
110 Consulting	554e7e9189e04bb925684d404f8d17f3	2012	'$9 million	http://www.inc.com/inc5000/profile/110-consulting	WA	203%'
1st Merchant Funding	554e7e9189e04bb925684d404f8d17f3	2012	'$4.8 million	http://www.inc.com/inc5000/profile/1st-merchant-funding	FL	652%'
206inc	554e7e9189e04bb925684d404f8d17f3	2012	'$10.1 million	http://www.inc.com/inc5000/profile/206inc	WA	50%'
29 Prime	554e7e9189e04bb925684d404f8d17f3	2012	'$6.4 million	http://www.inc.com/inc5000/profile/29-prime	CA	5,708%'
2HB Software Designs	554e7e9189e04bb925684d404f8d17f3	2012	'$4.5 million	http://www.inc.com/inc5000/profile/2hb-software-designs	MD	198%'
360 Vantage	554e7e9189e04bb925684d404f8d17f3	2012	'$4.3 million	http://www.inc.com/inc5000/profile/360-vantage	AZ	157%'
3DCart	554e7e9189e04bb925684d404f8d17f3	2012	'$7.3 million	http://www.inc.com/inc5000/profile/3dcart	FL	244%'
41st Parameter	554e7e9189e04bb925684d404f8d17f3	2012	'$12.9 million	http://www.inc.com/inc5000/profile/41st-parameter	AZ	120%'
4moms	554e7e9189e04bb925684d404f8d17f3	2012	'$6.6 million	http://www.inc.com/inc5000/profile/4moms	PA	470%'
90octane	554e7e9189e04bb925684d404f8d17f3	2012	'$4.2 million	http://www.inc.com/inc5000/profile/90octane	CO	59%'
A Wireless	554e7e9189e04bb925684d404f8d17f3	2012	'$105.7 million	http://www.inc.com/inc5000/profile/a-wireless	NC	126%'
A-T Solutions	554e7e9189e04bb925684d404f8d17f3	2012	'$169.1 million	http://www.inc.com/inc5000/profile/a-t-solutions	VA	251%'
A+ Government Solutions	554e7e9189e04bb925684d404f8d17f3	2012	'$24.5 million	http://www.inc.com/inc5000/profile/a-government-solutions	VA	821%'
A10 Networks	554e7e9189e04bb925684d404f8d17f3	2012	'$91.7 million	http://www.inc.com/inc5000/profile/a10-networks	CA	2,334%'
AA Metals	554e7e9189e04bb925684d404f8d17f3	2012	'$101.5 million	http://www.inc.com/inc5000/profile/aa-metals	FL	772%'
AAA Movers	554e7e9189e04bb925684d404f8d17f3	2012	'$6.1 million	http://www.inc.com/inc5000/profile/aaa-movers	MN	44%'
AAC Enterprises	554e7e9189e04bb925684d404f8d17f3	2012	'$2.6 million	http://www.inc.com/inc5000/profile/aac-enterprises	LA	212%'
Aardvark Event Logistics	554e7e9189e04bb925684d404f8d17f3	2012	'$2.2 million	http://www.inc.com/inc5000/profile/aardvark-event-logistics	PA	2,018%'
Aaron Oil Company	554e7e9189e04bb925684d404f8d17f3	2012	'$48 million	http://www.inc.com/inc5000/profile/aaron-oil-company	AL	25%'
'Aaron''s Sales & Lease Ownership (Iowa)'	554e7e9189e04bb925684d404f8d17f3	2012	'$51.5 million	http://www.inc.com/inc5000/profile/aarons-sales-lease-ownership-iowa	IA	74%'
AASKI Technology	554e7e9189e04bb925684d404f8d17f3	2012	'$17.1 million	http://www.inc.com/inc5000/profile/aaski-technology	NJ	143%'
AB Staffing Solutions	554e7e9189e04bb925684d404f8d17f3	2012	'$19.2 million	http://www.inc.com/inc5000/profile/ab-staffing-solutions	AZ	92%'
Abbyson Living	554e7e9189e04bb925684d404f8d17f3	2012	'$25.5 million	http://www.inc.com/inc5000/profile/abbyson-living	CA	2,143%'
ABC Supply	554e7e9189e04bb925684d404f8d17f3	2012	'$4.6 billion	http://www.inc.com/inc5000/profile/abc-supply	WI	58%'
Absolute Concrete Construction	554e7e9189e04bb925684d404f8d17f3	2012	'$14 million	http://www.inc.com/inc5000/profile/absolute-concrete-construction	IA	24%'
Abyss Group	554e7e9189e04bb925684d404f8d17f3	2012	'$3.1 million	http://www.inc.com/inc5000/profile/abyss-group	CT	157%'
Acadian Companies	554e7e9189e04bb925684d404f8d17f3	2012	'$380.6 million	http://www.inc.com/inc5000/profile/acadian-companies	LA	39%'
Accelerated Claims	554e7e9189e04bb925684d404f8d17f3	2012	'$3.1 million	http://www.inc.com/inc5000/profile/accelerated-claims	GA	179%'
Accent Electronic Systems Integrators	554e7e9189e04bb925684d404f8d17f3	2012	'$18.4 million	http://www.inc.com/inc5000/profile/accent-electronic-systems-integrators	FL	296%'
Access America Transport	554e7e9189e04bb925684d404f8d17f3	2012	'$186.2 million	http://www.inc.com/inc5000/profile/access-america-transport	TN	301%'
Access Media 3	554e7e9189e04bb925684d404f8d17f3	2012	'$16.2 million	http://www.inc.com/inc5000/profile/access-media-3	IL	302%'
Accolade	554e7e9189e04bb925684d404f8d17f3	2012	'$17.9 million	http://www.inc.com/inc5000/profile/accolade	PA	5,866%'
AccuCode	554e7e9189e04bb925684d404f8d17f3	2012	'$25.8 million	http://www.inc.com/inc5000/profile/accucode	CO	60%'
Accunet Solutions	554e7e9189e04bb925684d404f8d17f3	2012	'$43.1 million	http://www.inc.com/inc5000/profile/accunet-solutions	MA	291%'
Accurate Home Care	554e7e9189e04bb925684d404f8d17f3	2012	'$38.2 million	http://www.inc.com/inc5000/profile/accurate-home-care	MN	83%'
