(Add)ventures,554e7e9189e04bb925684d404f8d16dd,2011,$5.8 million
110 Consulting,554e7e9189e04bb925684d404f8d16dd,2011,$7.1 million
123 Exteriors,554e7e9189e04bb925684d404f8d16dd,2011,$7.4 million
1st Merchant Funding,554e7e9189e04bb925684d404f8d16dd,2011,$3.6 million
206inc,554e7e9189e04bb925684d404f8d16dd,2011,$8.8 million
2HB Software Designs,554e7e9189e04bb925684d404f8d16dd,2011,$3.4 million
2Is,554e7e9189e04bb925684d404f8d16dd,2011,$4.6 million
3ality Digital,554e7e9189e04bb925684d404f8d16dd,2011,$21.4 million
3DCart,554e7e9189e04bb925684d404f8d16dd,2011,$4.7 million
3tailer,554e7e9189e04bb925684d404f8d16dd,2011,$3.3 million
3TIER,554e7e9189e04bb925684d404f8d16dd,2011,$7.8 million
3VR,554e7e9189e04bb925684d404f8d16dd,2011,$14.4 million
4moms,554e7e9189e04bb925684d404f8d16dd,2011,$3.4 million
5AM Solutions,554e7e9189e04bb925684d404f8d16dd,2011,$12.9 million
5th Finger,554e7e9189e04bb925684d404f8d16dd,2011,$2.6 million
600 lb. Gorillas,554e7e9189e04bb925684d404f8d16dd,2011,$7.2 million
90octane,554e7e9189e04bb925684d404f8d16dd,2011,$3.1 million
919 Marketing,554e7e9189e04bb925684d404f8d16dd,2011,$2.2 million
A Place for Mom,554e7e9189e04bb925684d404f8d16dd,2011,$49.2 million
A Wireless,554e7e9189e04bb925684d404f8d16dd,2011,$83 million
A-T Solutions,554e7e9189e04bb925684d404f8d16dd,2011,$128.6 million
A. Harold and Associates,554e7e9189e04bb925684d404f8d16dd,2011,$10.9 million
A+ Mortgage Services,554e7e9189e04bb925684d404f8d16dd,2011,$216.5 million
A10 Clinical Solutions,554e7e9189e04bb925684d404f8d16dd,2011,$19.7 million
A10 Networks,554e7e9189e04bb925684d404f8d16dd,2011,$55.1 million
AA Metals,554e7e9189e04bb925684d404f8d16dd,2011,$65 million
AAC Enterprises,554e7e9189e04bb925684d404f8d16dd,2011,$2 million
