Asset Protection Associates	554e7e9189e04bb925684d404f8ce507	2006	'$6.1 million	http://www.inc.com/inc5000/profile/asset-protection-associates	GA	497%'
Athena Technologies	554e7e9189e04bb925684d404f8ce507	2006	'$16.4 million	http://www.inc.com/inc5000/profile/athena-technologies	VA	409%'
athenahealth	554e7e9189e04bb925684d404f8ce507	2006	'$53.6 million	http://www.inc.com/inc5000/profile/athenahealth	MA	347%'
Atlas Marketing Group	554e7e9189e04bb925684d404f8ce507	2006	'$17.3 million	http://www.inc.com/inc5000/profile/atlas-marketing-group	UT	731%'
Atlas Marketing Group	554e7e9189e04bb925684d404f8ce507	2006	'$17.3 million	http://www.inc.com/inc5000/profile/atlas-marketing-group	UT	731%'
Attic Technologies	554e7e9189e04bb925684d404f8ce507	2006	'$9.7 million	http://www.inc.com/inc5000/profile/attic-technologies	NJ	1,180%'
Autobase	554e7e9189e04bb925684d404f8ce507	2006	'$16.3 million	http://www.inc.com/inc5000/profile/autobase	IN	308%'
Automation Technologies	554e7e9189e04bb925684d404f8ce507	2006	'$7.1 million	http://www.inc.com/inc5000/profile/automation-technologies	VA	463%'
Avondale Partners	554e7e9189e04bb925684d404f8ce507	2006	'$17.1 million	http://www.inc.com/inc5000/profile/avondale-partners	TN	434%'
Axiom Legal	554e7e9189e04bb925684d404f8ce507	2006	'$17.2 million	http://www.inc.com/inc5000/profile/axiom-legal	NY	1,014%'
Backcountry.com	554e7e9189e04bb925684d404f8ce507	2006	'$50.9 million	http://www.inc.com/inc5000/profile/backcountrycom	UT	669%'
Backcountry.com	554e7e9189e04bb925684d404f8ce507	2006	'$50.9 million	http://www.inc.com/inc5000/profile/backcountrycom	UT	669%'
Bandwidth.com	554e7e9189e04bb925684d404f8ce507	2006	'$15.3 million	http://www.inc.com/inc5000/profile/bandwidthcom	NC	2,272%'
BannerElk Trading Co.	554e7e9189e04bb925684d404f8ce507	2006	'$3.1 million	http://www.inc.com/inc5000/profile/bannerelk-trading-co	GA	336%'
Bart Larsen Trucking	554e7e9189e04bb925684d404f8ce507	2006	'$10.7 million	http://www.inc.com/inc5000/profile/bart-larsen-trucking	ID	443%'
Bayside Solutions	554e7e9189e04bb925684d404f8ce507	2006	'$18.7 million	http://www.inc.com/inc5000/profile/bayside-solutions	CA	1,050%'
Beacon Hill Staffing Group	554e7e9189e04bb925684d404f8ce507	2006	'$17.7 million	http://www.inc.com/inc5000/profile/beacon-hill-staffing-group	MA	908%'
Bell-Corley Construction	554e7e9189e04bb925684d404f8ce507	2006	'$24.2 million	http://www.inc.com/inc5000/profile/bell-corley-construction	AR	1,267%'
Big Communications	554e7e9189e04bb925684d404f8ce507	2006	'$9.3 million	http://www.inc.com/inc5000/profile/big-communications	MI	962%'
