AdvancedMD Software,554e7e9189e04bb925684d404f8d0039,2009,$21.7 million
AdvancedMD Software,554e7e9189e04bb925684d404f8d0039,2009,$21.7 million
Advantage Engineering & IT Solutions,554e7e9189e04bb925684d404f8d0039,2009,$4.9 million
Advantage Transport,554e7e9189e04bb925684d404f8d0039,2009,$22.8 million
Advantage Travel & Incentives,554e7e9189e04bb925684d404f8d0039,2009,$87.8 million
Advanticom,554e7e9189e04bb925684d404f8d0039,2009,$9.8 million
Advent Design,554e7e9189e04bb925684d404f8d0039,2009,$13.2 million
Advisors Asset Management,554e7e9189e04bb925684d404f8d0039,2009,$63.7 million
Advisors Mortgage Group,554e7e9189e04bb925684d404f8d0039,2009,$10 million
Aegis Security Design,554e7e9189e04bb925684d404f8d0039,2009,$2.3 million
Aero Solutions,554e7e9189e04bb925684d404f8d0039,2009,$22.9 million
Aerodyn Engineering,554e7e9189e04bb925684d404f8d0039,2009,$6.7 million
Affiliate Media,554e7e9189e04bb925684d404f8d0039,2009,$7.7 million
Affinity,554e7e9189e04bb925684d404f8d0039,2009,$13.1 million
AGA Medical Holdings,554e7e9189e04bb925684d404f8d0039,2009,$166.9 million
AgencyPort Insurance Services,554e7e9189e04bb925684d404f8d0039,2009,$14.1 million
Agile,554e7e9189e04bb925684d404f8d0039,2009,$2.1 million
AgilePath,554e7e9189e04bb925684d404f8d0039,2009,$3.6 million
AgileThought,554e7e9189e04bb925684d404f8d0039,2009,$4.9 million
Agility Mfg,554e7e9189e04bb925684d404f8d0039,2009,$3.6 million
AGM Container Controls,554e7e9189e04bb925684d404f8d0039,2009,$14.8 million
Agosto,554e7e9189e04bb925684d404f8d0039,2009,$4.5 million
AgVenture Feeds & Seed,554e7e9189e04bb925684d404f8d0039,2009,$3.9 million
Ahura Scientific,554e7e9189e04bb925684d404f8d0039,2009,$46.2 million
AirClic,554e7e9189e04bb925684d404f8d0039,2009,$12.1 million
Aircraft Cabin Systems,554e7e9189e04bb925684d404f8d0039,2009,$6.3 million
AIT Laboratories,554e7e9189e04bb925684d404f8d0039,2009,$33.4 million
AJ Riggins,554e7e9189e04bb925684d404f8d0039,2009,$2.3 million
Ajasa Technologies,554e7e9189e04bb925684d404f8d0039,2009,$40.7 million
Akasha,554e7e9189e04bb925684d404f8d0039,2009,$9.9 million
ALARM TEAM,554e7e9189e04bb925684d404f8d0039,2009,$14.3 million
ALaS Consulting,554e7e9189e04bb925684d404f8d0039,2009,$17.4 million
Alatec,554e7e9189e04bb925684d404f8d0039,2009,$10.6 million
AlertNow,554e7e9189e04bb925684d404f8d0039,2009,$8.5 million
Ali International,554e7e9189e04bb925684d404f8d0039,2009,$3.8 million
All About Gifts & Baskets,554e7e9189e04bb925684d404f8d0039,2009,$3.9 million
All About Packaging,554e7e9189e04bb925684d404f8d0039,2009,$5.7 million
All About Travel,554e7e9189e04bb925684d404f8d0039,2009,$97.4 million
All Marine Spares International,554e7e9189e04bb925684d404f8d0039,2009,$3.8 million
All Safe Industries,554e7e9189e04bb925684d404f8d0039,2009,$6 million
All Star Directories,554e7e9189e04bb925684d404f8d0039,2009,$51.2 million
Allegiance,554e7e9189e04bb925684d404f8d0039,2009,$5.9 million
Allegiance,554e7e9189e04bb925684d404f8d0039,2009,$5.9 million
Alliance,554e7e9189e04bb925684d404f8d0039,2009,$7.8 million
Alliance Communications Management,554e7e9189e04bb925684d404f8d0039,2009,$13.8 million
Alliance Plastics,554e7e9189e04bb925684d404f8d0039,2009,$21.9 million
Alliance Technologies,554e7e9189e04bb925684d404f8d0039,2009,$14.9 million
Allied 100,554e7e9189e04bb925684d404f8d0039,2009,$17.4 million
Alltech,554e7e9189e04bb925684d404f8d0039,2009,$414.6 million
Allyis,554e7e9189e04bb925684d404f8d0039,2009,$23.9 million
Alpha Card Services,554e7e9189e04bb925684d404f8d0039,2009,$7.6 million
Alpine Waste & Recycling,554e7e9189e04bb925684d404f8d0039,2009,$15.3 million
Alteris Renewables,554e7e9189e04bb925684d404f8d0039,2009,$35.6 million
Altos Photonics,554e7e9189e04bb925684d404f8d0039,2009,$2.6 million
Altum,554e7e9189e04bb925684d404f8d0039,2009,$9.6 million
Amadeus Consulting,554e7e9189e04bb925684d404f8d0039,2009,$4.8 million
Amazing Charts.com,554e7e9189e04bb925684d404f8d0039,2009,$2.1 million
Ambient Weather,554e7e9189e04bb925684d404f8d0039,2009,$8.7 million
Ambir Technology,554e7e9189e04bb925684d404f8d0039,2009,$5.8 million
Amdex,554e7e9189e04bb925684d404f8d0039,2009,$30.4 million
American Bancard,554e7e9189e04bb925684d404f8d0039,2009,$10.2 million
