@Properties,554e7e9189e04bb925684d404f8ce507,2006,$32.5 million
2Wire,554e7e9189e04bb925684d404f8ce507,2006,$219.6 million
5Linx Enterprises,554e7e9189e04bb925684d404f8ce507,2006,$4.9 million
Abacus 24-7,554e7e9189e04bb925684d404f8ce507,2006,$3.8 million
AbsoluteHire,554e7e9189e04bb925684d404f8ce507,2006,$8.4 million
Access Systems,554e7e9189e04bb925684d404f8ce507,2006,$29.1 million
Accounting Management Solutions,554e7e9189e04bb925684d404f8ce507,2006,$6.3 million
Ace Holding Co.,554e7e9189e04bb925684d404f8ce507,2006,$115.9 million
Actcom Security Solutions,554e7e9189e04bb925684d404f8ce507,2006,$11.8 million
Ad-Base Systems,554e7e9189e04bb925684d404f8ce507,2006,$14.9 million
AdminServer,554e7e9189e04bb925684d404f8ce507,2006,$11.6 million
Advanced Equities Financial,554e7e9189e04bb925684d404f8ce507,2006,$142.9 million
Advanced Planning Services,554e7e9189e04bb925684d404f8ce507,2006,$13.9 million
Agentek,554e7e9189e04bb925684d404f8ce507,2006,$10.6 million
Agile360,554e7e9189e04bb925684d404f8ce507,2006,$9.4 million
Agiltron,554e7e9189e04bb925684d404f8ce507,2006,$6.4 million
Airborne Health,554e7e9189e04bb925684d404f8ce507,2006,$151.6 million
Albar Precious Metal Refining,554e7e9189e04bb925684d404f8ce507,2006,$14.6 million
Albridge Solutions,554e7e9189e04bb925684d404f8ce507,2006,$25.5 million
All Fund Mortgage,554e7e9189e04bb925684d404f8ce507,2006,$38.4 million
All Teriors Floor Covering,554e7e9189e04bb925684d404f8ce507,2006,$5.3 million
Allconnect,554e7e9189e04bb925684d404f8ce507,2006,$28.5 million
Allied Trade Group,554e7e9189e04bb925684d404f8ce507,2006,$19.5 million
altE,554e7e9189e04bb925684d404f8ce507,2006,$5.7 million
Ambient Weather,554e7e9189e04bb925684d404f8ce507,2006,$6.2 million
American Apparel,554e7e9189e04bb925684d404f8ce507,2006,$211 million
American Capital Financial Services,554e7e9189e04bb925684d404f8ce507,2006,$29.5 million
American Legal Search,554e7e9189e04bb925684d404f8ce507,2006,$2.8 million
American Sentry Guard,554e7e9189e04bb925684d404f8ce507,2006,$5.6 million
Americhip,554e7e9189e04bb925684d404f8ce507,2006,$17.6 million
Ameritrust Mortgage,554e7e9189e04bb925684d404f8ce507,2006,$32 million
Ancillary Care Management,554e7e9189e04bb925684d404f8ce507,2006,$232.6 million
Anjani Etech Solutions,554e7e9189e04bb925684d404f8ce507,2006,$6.1 million
Apex Environmental Engineering & Compliance,554e7e9189e04bb925684d404f8ce507,2006,$5.1 million
Appletree Answering Service,554e7e9189e04bb925684d404f8ce507,2006,$4.6 million
Arbor Networks,554e7e9189e04bb925684d404f8ce507,2006,$30.2 million
ARES International Security,554e7e9189e04bb925684d404f8ce507,2006,$25.9 million
Argotek,554e7e9189e04bb925684d404f8ce507,2006,$7 million
Ascentium,554e7e9189e04bb925684d404f8ce507,2006,$20.9 million
Asset Protection Associates,554e7e9189e04bb925684d404f8ce507,2006,$6.1 million
Athena Technologies,554e7e9189e04bb925684d404f8ce507,2006,$16.4 million
athenahealth,554e7e9189e04bb925684d404f8ce507,2006,$53.6 million
Atlas Marketing Group,554e7e9189e04bb925684d404f8ce507,2006,$17.3 million
Atlas Marketing Group,554e7e9189e04bb925684d404f8ce507,2006,$17.3 million
Attic Technologies,554e7e9189e04bb925684d404f8ce507,2006,$9.7 million
