"company","tweet_volume","value_score_100","revenue"
"vmware",857,0.82,3700
"cloudera",360,0.28,18
"awscloud",495,0.2,600
"sap",853,0.12,3970
"ibmcloud",631,-0.32,700
"hpcloud",267,-0.37,0
"salesforce",1358,-0.44,1300
"heroku",1024,-0.49,3
"netsuite",1073,-0.56,200
"rackspace",1308,-0.84,189
"appfog",184,-1.09,1.4
"joyent",606,-1.16,15
"app_engine",90,-2.22,385
