citola,fb79c1faa23e6537889b8b58cabe85ce	Citola	citola	2008	0
civicsolar,fb79c1faa23e6537889b8b58cac1f714	CivicSolar	civicsolar	2009	455000
clc-bio,fb79c1faa23e6537889b8b58cac797e4	CLC bio	CLCbio	2005	0
clean-green-guy-inc,e054627bc6b1f1d8cb812cce425dfa81	OnGreen	ongreeninc	2009	1400000
cleangrow,fb79c1faa23e6537889b8b58cac85161	CleanGrow	CleanGrow	2009	0
cleantechgrid,fb79c1faa23e6537889b8b58cac8c39e	CleanTechGrid	cleantechgrid	null	0
cleantechpr-agency,fb79c1faa23e6537889b8b58cac8d496	CleantechPR Agency	cleantechagency	2009	0
cleantick,fb79c1faa23e6537889b8b58cac8daf7	CleanTick	cleantick	2010	0
cleantricity-power,fb79c1faa23e6537889b8b58cac8e4ad	CLEANtricity Power	cleantricity	2009	0
climate-change-capital-ltd,fb79c1faa23e6537889b8b58cad1a412	Climate Change Capital Ltd	Jamesogradycam	2003	0
clinipace-worldwide,fb79c1faa23e6537889b8b58cad260e1	Clinipace WorldWide	clinipace	2003	15000000
co2stats,fb79c1faa23e6537889b8b58cadf22ee	CO2Stats	co2stats	2008	0
cold-crate,fb79c1faa23e6537889b8b58cae92be7	Cold Crate	ColdCrate	2010	0
comparemysolar,fb79c1faa23e6537889b8b58caf7a69b	CompareMySolar	comparemysolar	2010	0
comverge,fb79c1faa23e6537889b8b58cafe1a3e	Comverge	comverge	1997	0
connectbiotech,c61e6a5dd61ef3ac28d02c864e047ea9	ConnectBiotech	connectbiotech	2009	0
cooler,c61e6a5dd61ef3ac28d02c864e12106a	Cooler	climatecooler	null	0
cpower,c61e6a5dd61ef3ac28d02c864e2331cf	CPower	cpowered	2000	27680000
crimsonbase,c61e6a5dd61ef3ac28d02c864e2d8e4e	CrimsonBase	CrimsonBase	2008	0
cryo-cell-international,c61e6a5dd61ef3ac28d02c864e360f82	Cryo-Cell International	CryoCell	1989	0
csrhub,c61e6a5dd61ef3ac28d02c864e37bf6b	CSRHUB	csrhub	2007	0
csrware,c61e6a5dd61ef3ac28d02c864e37ca31	CSRware	CSRware	2006	0
curb-surf,c61e6a5dd61ef3ac28d02c864e3d105d	Curb Surf	CurbSurf	2011	0
cybervally,c61e6a5dd61ef3ac28d02c864e441771	CyberVally	cybervally	2010	0
cyclus-id,c61e6a5dd61ef3ac28d02c864e44d85b	Cyclus ID	cyclusid	2002	0
cytorex-biosciences,c61e6a5dd61ef3ac28d02c864e47b3f4	Cytorex Biosciences	cytorex	2000	0
d-light-design,c61e6a5dd61ef3ac28d02c864e48b161	D.light Design	dlightdesign	null	11500000
d-light-design,c61e6a5dd61ef3ac28d02c864ebc134d	D.light Design	dlightdesign	null	11500000
daimer-industries,c61e6a5dd61ef3ac28d02c864e4cfb4f	Daimer Industries	daimer_inc	1974	0
daimer-industries,c61e6a5dd61ef3ac28d02c864ec051f3	Daimer Industries	daimer_inc	1974	0
daintree-networks,c61e6a5dd61ef3ac28d02c864e4d27cb	Daintree Networks	daintreenet	2003	8000000
daintree-networks,c61e6a5dd61ef3ac28d02c864ec07843	Daintree Networks	daintreenet	2003	8000000
deco-lighting,c61e6a5dd61ef3ac28d02c864e667a72	Deco Lighting	getdeco	null	0
deco-lighting,c61e6a5dd61ef3ac28d02c864ed9aae2	Deco Lighting	getdeco	null	0
dementiaguide,c61e6a5dd61ef3ac28d02c864e7a7119	DGI Clinical	DGIClinical	null	0
dementiaguide,c61e6a5dd61ef3ac28d02c864eecb5f8	DGI Clinical	DGIClinical	null	0
diagenode,c61e6a5dd61ef3ac28d02c864e7b6546	Diagenode	diagenode	2003	0
diagenode,c61e6a5dd61ef3ac28d02c864eedc004	Diagenode	diagenode	2003	0
digital-lumens,c61e6a5dd61ef3ac28d02c864e841e05	Digital Lumens	digitallumens	2008	16300645
digital-lumens,c61e6a5dd61ef3ac28d02c864ef7dffe	Digital Lumens	digitallumens	2008	16300645
dimples,c61e6a5dd61ef3ac28d02c864e8b2f32	Dimples	GetDimples	2010	0
dimples,c61e6a5dd61ef3ac28d02c864eff1ea3	Dimples	GetDimples	2010	0
divya-energy,4b9962595d7ff850d591b39c0009518e	Divya Energy	divyaenergy	null	0
divya-energy,c61e6a5dd61ef3ac28d02c864e9568c7	Divya Energy	divyaenergy	null	0
docturnal,4b9962595d7ff850d591b39c000f2eba	docturnal	docturnal_India	2010	0
docturnal,c61e6a5dd61ef3ac28d02c864e9ae83d	docturnal	docturnal_India	2010	0
dp-alternative-energy-designs,4b9962595d7ff850d591b39c001cb93a	DP Alternative Energy Designs	DPENERGYDESIGNS	2010	0
dp-alternative-energy-designs,c61e6a5dd61ef3ac28d02c864ea80062	DP Alternative Energy Designs	DPENERGYDESIGNS	2010	0
draker-laboratories,4b9962595d7ff850d591b39c001e338f	Draker 	drakerenergy	1999	5085000
