a-m-entertainment,5fae06029bbe793553b81c6aca0199aa	A&M Entertainment	amentertainment
aawe,5fae06029bbe793553b81c6aca044446	AAWE	awelearning
abak-software,5fae06029bbe793553b81c6aca04d7bc	Abak Software	abaksoft
abi-innovation-hub,5fae06029bbe793553b81c6aca06e2e2	abi Innovation Hub	abihub
access-direct,5fae06029bbe793553b81c6aca0e3336	Access Direct	accessdirect
acens,5fae06029bbe793553b81c6aca12b051	acens	acens
acquirer-systems,5fae06029bbe793553b81c6aca155db4	Acquirer Systems	acquirer
actimedia-digital-corp,5fae06029bbe793553b81c6aca172cf5	Actimedia Digital Corp	actimedia
activestate,5fae06029bbe793553b81c6aca19f901	ActiveState	activestate
adicio,5fae06029bbe793553b81c6aca261b60	Adicio	Adicio
aerosat-corporation,5fae06029bbe793553b81c6aca3712da	AeroSat Corporation	AEROSAT
alcala-consulting,5fae06029bbe793553b81c6aca4e7b24	Alcala Consulting	AlcalaTech
amazing-print,5fae06029bbe793553b81c6aca645a2d	Amazing Print	amazingprint
antevenio,5fae06029bbe793553b81c6aca78fae3	Antevenio	antevenio
archrival,5fae06029bbe793553b81c6aca95ad3f	Archrival	Archrival
azam-marketing,5fae06029bbe793553b81c6acace608e	Azam Marketing	azammarketing
backgrounds-online,5fae06029bbe793553b81c6acad44a0f	Backgrounds Online	BGO_screening
baroan-technologies,5fae06029bbe793553b81c6acade2cc0	Baroan Technologies	baroantech
biobase,fb79c1faa23e6537889b8b58ca079e0b	BIOBASE	BIOBASE
bluemetal-sac,fb79c1faa23e6537889b8b58ca27677b	Bluemetal SAC	bluemetalcorp
brandworkz,fb79c1faa23e6537889b8b58ca431d56	Brandworkz	BrandworkzWorld
brittenford-systems,fb79c1faa23e6537889b8b58ca4cf2c0	Brittenford Systems	brittenford
buy-com,fb79c1faa23e6537889b8b58ca6141f7	Buy.com	Buy_com
caringbridge,fb79c1faa23e6537889b8b58ca86c4cf	CaringBridge	caringbridge
cbs-marketwatch,fb79c1faa23e6537889b8b58ca9248de	CBS MarketWatch	marketwatch
centralite-systems,fb79c1faa23e6537889b8b58ca9c7145	CentraLite Systems	centralite
centric-software,fb79c1faa23e6537889b8b58ca9cf826	Centric Software	Centric_PLM
check-o-matic-business-checks,fb79c1faa23e6537889b8b58caaa6be4	Check O Matic - Business Checks	Checkomatic
clubsoft,fb79c1faa23e6537889b8b58cadc003f	ClubSoft	ClubSoftNA
comit-communications-marketing,fb79c1faa23e6537889b8b58caf2012e	Comit Communications & Marketing	allanchapman
comverge,fb79c1faa23e6537889b8b58cafe1a3e	Comverge	comverge
corepoint-health,c61e6a5dd61ef3ac28d02c864e168fe3	Corepoint Health	corepointhealth
coreworx,c61e6a5dd61ef3ac28d02c864e16cc88	Coreworx	capitalproduct
corporateserve-solutions,c61e6a5dd61ef3ac28d02c864e19a5db	CorporateServe Solutions	corporateserve1
coware,c61e6a5dd61ef3ac28d02c864e217031	CoWare	CoWare
daft-ie,c61e6a5dd61ef3ac28d02c864e4a73b2	Daft.ie	daftmedia
daft-ie,c61e6a5dd61ef3ac28d02c864ebdff7f	Daft.ie	daftmedia
data-ladder,c61e6a5dd61ef3ac28d02c864e527c39	Data Ladder	dataladder
data-ladder,c61e6a5dd61ef3ac28d02c864ec5f3c4	Data Ladder	dataladder
diboll-associates-marketing-and-public-relations,c61e6a5dd61ef3ac28d02c864e7dc5a1	Diboll & Associates Marketing and Public Relations	Dibollandassoc
